date,mels_S,lig_S,mels_N,hvac_N,hvac_S,occ_third_south,occ_fourth_south,zone_temp_avg,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1,rtu_sa_temp_avg,rtu_oa_damper_avg,rtu_ma_temp_avg,rtu_econ_sp_avg,hour_of_day,day_of_week,is_weekend,is_business_hours,total_kw,hvac_kw,hvac_share,total_occ,kw_per_occupant,outdoor_temp_f,indoor_temp_f,fault_econ_stuck_open,fault_econ_stuck_closed,expected_ma_temp_f,ma_temp_deviation,fault_ma_sensor_mismatch,any_economizer_fault,econ_setpoint_deviation_f
2018-01-01 00:00:00,,,,,,,,,11.54,11.4625,8.14,79.82249999999999,51.4075,66.82541666666667,34.200833333333335,65.50083333333333,68.0,0,0,0,0,,,,,,52.772,,False,False,,,False,False,-15.228000000000002
2018-01-01 01:00:00,1.200000018,0.200000003,7.35000002375,37.5250005725,19.394999505,,,,10.89,10.932500000000001,7.994999999999999,82.5,2.125,66.67208333333333,30.737499999999997,65.33500000000001,68.0,1,0,0,0,65.67000012225,56.9200000775,0.8667580321537814,,,51.602000000000004,,False,False,,,False,False,-16.397999999999996
2018-01-01 02:00:00,1.112500027,0.200000003,7.55000007175,37.7500009525,22.775000095,,,,10.754999999999999,10.8,7.96,83.02499999999999,0.0,66.66208333333333,29.85,65.29833333333333,68.0,2,0,0,0,69.38750114925,60.5250010475,0.8722752663669631,,,51.358999999999995,,False,False,,,False,False,-16.641000000000005
2018-01-01 03:00:00,1.174999997,0.16250000225,7.6500000955,37.550001144999996,18.920000075,,,,10.4775,10.5475,8.035,85.0,0.0,66.34666666666666,29.85,65.08166666666666,68.0,3,0,0,0,65.45750131475,56.47000122,0.8626971712297122,,,50.8595,,False,False,,,False,False,-17.140500000000003
2018-01-01 04:00:00,1.324999988,0.1750000025,7.1999999282500005,36.675001144999996,21.599999905,,,,9.9925,10.1475,8.0075,87.6,0.0,66.10999999999999,29.85,64.8725,68.0,4,0,0,0,66.97500096875,58.27500105,0.8701007869666274,,,49.9865,,False,False,,,False,False,-18.0135
2018-01-01 05:00:00,1.1666666917500002,0.200000003,6.64583343275,37.2725000375,19.000000475,,,,9.805,9.907499999999999,8.1775,89.725,0.0,66.14833333333334,28.306666666666665,64.86416666666666,68.0,5,0,0,0,64.28500063999999,56.2725005125,0.8753597254767019,,,49.649,,False,False,,,False,False,-18.351
2018-01-01 06:00:00,1.10833335925,0.200000003,6.6666665075000004,38.0950002675,23.17500019,,,,9.7925,9.885,8.155,89.65,0.0,66.26375,28.215,64.88041666666666,68.0,6,0,0,0,69.24500032725,61.2700004575,0.8848292319725559,,,49.6265,,False,False,,,False,False,-18.3735
2018-01-01 07:00:00,1.200000018,0.1750000025,7.049999952,37.425000187500004,20.3225002275,,,,9.987499999999999,10.0425,8.0925,88.15,0.0,66.28833333333333,28.0,64.90291666666666,68.0,7,0,0,0,66.17250038750001,57.747500415000005,0.8726812509250219,,,49.9775,,False,False,,,False,False,-18.0225
2018-01-01 08:00:00,1.150000036,0.200000003,7.150000095499999,37.447500382499996,21.92500019,,,,10.0725,10.1675,7.9175,86.6,0.0,66.18124999999999,28.690833333333334,64.84958333333333,68.0,8,0,0,1,67.872500707,59.372500572499995,0.8747651840442154,,,50.1305,,False,False,,,False,False,-17.869500000000002
2018-01-01 09:00:00,1.287499994,0.200000003,7.1875001195,37.3000003825,19.1699996575,,,,10.1075,10.5425,7.4425,83.7,0.0,66.12458333333333,28.3,64.77583333333334,68.0,9,0,0,1,65.1450001565,56.47000004,0.8668355192929655,,,50.1935,,False,False,,,False,False,-17.8065
2018-01-01 10:00:00,1.100000024,0.16250000225,6.96249997625,36.6225006125,18.650000285,,,,10.16,10.49,7.362500000000001,82.95,0.0,65.86041666666667,28.3,64.59416666666667,68.0,10,0,0,1,63.497500900000006,55.272500897499995,0.8704673430305033,,,50.288,,False,False,,,False,False,-17.712000000000003
2018-01-01 11:00:00,1.0125000255,0.200000003,6.93750005975,44.500000955,22.125000475,,,,10.0525,10.397499999999999,7.3149999999999995,83.30000000000001,0.0,65.94125,28.3,64.56291666666667,68.0,11,0,0,1,74.77500151825001,66.62500143,0.8910063534233312,,,50.0945,,False,False,,,False,False,-17.905500000000004
2018-01-01 12:00:00,1.200000018,0.200000003,7.29999995225,36.62500019,18.1725,,,,9.1525,9.815,7.175,87.575,0.0,65.5375,28.125,64.2975,68.0,12,0,0,1,63.49750016325,54.79750019,0.862986732534626,,,48.4745,,False,False,,,False,False,-19.5255
2018-01-01 13:00:00,1.100000009,0.200000003,7.387499988,36.3474996175,18.7424998475,,,,9.53,9.9375,7.2575,85.875,0.0,65.43875,28.0,64.19541666666666,68.0,13,0,0,1,63.777499465,55.089999465,0.863784248788751,,,49.153999999999996,,False,False,,,False,False,-18.846000000000004
2018-01-01 14:00:00,1.212500006,0.22500000525,7.42499983325,36.3474998475,18.6724999425,,,,9.6125,9.9475,7.395,86.19999999999999,0.0,65.48458333333333,28.0,64.19666666666667,68.0,14,0,0,1,63.88249963450001,55.01999979,0.8612687372096226,,,49.3025,,False,False,,,False,False,-18.697499999999998
2018-01-01 15:00:00,1.112500027,0.300000012,7.5374999645,36.37250019,22.80000019,,,,9.1075,9.33,7.52,89.9,2.16,65.08041666666666,28.0,63.89291666666666,68.0,15,0,0,1,68.1225003835,59.172500379999995,0.8686190325793182,,,48.3935,,False,False,,,False,False,-19.606499999999997
2018-01-01 16:00:00,1.075000018,0.300000012,7.62499988075,36.87000061,19.0724996575,,,,9.3775,9.635,7.5,88.2,70.6225,65.42916666666666,28.0,64.11375000000001,68.0,16,0,0,1,64.94250017825,55.942500267499994,0.8614158696377967,,,48.8795,,False,False,,,False,False,-19.1205
2018-01-01 17:00:00,1.200000048,0.300000012,7.42500007175,36.3000005725,21.00000019,,,,9.245000000000001,9.3575,7.6675,89.975,160.975,65.78708333333333,28.0,64.43583333333333,68.0,17,0,0,1,66.22500089425,57.3000007625,0.8652321629107759,,,48.641000000000005,,False,False,,,False,False,-19.358999999999995
2018-01-01 18:00:00,1.28333333125,0.35000001275,7.85833338875,37.274999235,18.8724996575,,,,9.9725,10.025,7.875,86.95,264.475,66.3725,28.122500000000002,64.95666666666666,68.0,18,0,0,1,65.63916562525,56.1474988925,0.8553962921018796,,,49.9505,,False,False,,,False,False,-18.049500000000002
2018-01-01 19:00:00,1.36666664475,1.087500036,14.2916667075,36.5975,21.19750019,,,,11.3275,11.135,8.2325,81.4825,371.6,66.92708333333334,31.821666666666665,65.56833333333334,68.0,19,0,0,0,74.54083357824999,57.795000189999996,0.7753468456900084,,,52.3895,,False,False,,,False,False,-15.610500000000002
2018-01-01 20:00:00,1.299999952,0.90999998625,14.1399998675,36.9249996175,19.4449998475,,,,13.0275,12.77,8.67,75.0975,404.35,67.29875000000001,37.47666666666667,66.01666666666667,68.0,20,0,0,0,72.71999927075001,56.369999465,0.7751650169181666,,,55.4495,,False,False,,,False,False,-12.5505
2018-01-01 21:00:00,1.362499967,2.439999946,14.4225001325,37.0724998475,22.875000095,,,,14.1325,13.9225,7.965,66.6875,303.9,67.57000000000001,37.4225,66.32875,68.0,21,0,0,0,78.172499988,59.9474999425,0.7668617474393469,,,57.4385,,False,False,,,False,False,-10.561500000000002
2018-01-01 22:00:00,1.3000000269999998,1.424999982,14.1499998575,37.87250023,19.772499619999998,,,,14.675,14.4225,7.455,62.19,284.775,67.805,41.71666666666667,66.55291666666668,68.0,22,0,0,0,74.5199997165,57.64499985,0.7735507255676547,,,58.415000000000006,,False,False,,,False,False,-9.584999999999994
2018-01-01 23:00:00,1.300000012,1.399999976,13.975000145,38.400000765,22.32250038,,,,15.2225,15.0175,6.5825000000000005,56.6225,212.325,68.07291666666667,42.662499999999994,66.76583333333333,68.0,23,0,0,0,77.397501278,60.722501145,0.7845537664955624,,,59.4005,,False,False,,,False,False,-8.599499999999999
2018-01-02 00:00:00,1.2750000209999999,1.512499988,14.2499998825,38.2249996175,26.40000019,,,,14.955,14.89,6.2525,56.292500000000004,87.44500000000001,67.7875,40.240833333333335,66.53708333333333,68.0,0,1,0,0,81.662499699,64.6249998075,0.7913669070344582,,,58.919,,False,False,,,False,False,-9.081000000000003
2018-01-02 01:00:00,1.075000033,0.924999995,13.7999999525,38.2975006125,21.174999715,,,,14.2125,14.335,5.265,55.2025,2.8675,67.32,38.13583333333333,66.05916666666667,68.0,1,1,0,0,75.272500308,59.4725003275,0.7900959857072694,,,57.5825,,False,False,,,False,False,-10.417499999999997
2018-01-02 02:00:00,1.3749999700000002,0.200000003,13.875,38.0725000375,21.722500132500002,,,,14.27,14.51,4.075,50.595,0.0925,67.16125,37.65,65.88583333333334,68.0,2,1,0,0,75.245000143,59.79500017,0.794670742991057,,,57.686,,False,False,,,False,False,-10.314
2018-01-02 03:00:00,1.2124999835,0.200000003,8.03125020825,39.14750023,21.700000285,,,,14.1375,14.3675,3.6125,49.3975,0.1175,67.20375,37.65,65.86583333333334,68.0,3,1,0,0,70.29125070975,60.847500515,0.8656482834009372,,,57.4475,,False,False,,,False,False,-10.552500000000002
